address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration
Hickorylaan 300,3545 CT,1111,6500.0,78.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813339-hickorylaan-300/,,,,,,
Prinses Beatrixplein 20,3523 VD,1500,5000.0,70.0,3.0,2.0,2.0,False,True,B,https://www.funda.nl/huur/utrecht/appartement-42987585-prinses-beatrixplein-20/,25.0,,,,,
Twellosebeeklaan 183,3521 DR,950,,49.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989619-twellosebeeklaan-183/,,,,,,
Hickorylaan 262,3545 CT,1111,6500.0,78.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814463-hickorylaan-262/,,,,,,
Tannhäuserdreef 178,3561 HL,1450,6300.0,80.0,4.0,3.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88228346-tannhauserdreef-178/,,,,,,
Nijenoord 315,3552 AS,1411,5500.0,97.0,4.0,3.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42817532-nijenoord-315/,,,,,,
Twellosebeeklaan 123,3521 DR,1040,,50.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989635-twellosebeeklaan-123/,,,,,,
Twellosebeeklaan 143,3521 DR,1500,,81.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989616-twellosebeeklaan-143/,,,,,,
Oudegracht 210 A,3511 NS,1595,,41.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88317865-oudegracht-210-a/,,,,,,
Tannhäuserdreef 176,3561 HL,1450,6300.0,80.0,4.0,3.0,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88291925-tannhauserdreef-176/,,,,,,
Kromme Nieuwegracht 11 C,3512 HC,1695,,100.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88347097-kromme-nieuwegracht-11-c/,,,,,,
CAB-rondom 147,3534 BJ,927,,74.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992204-cab-rondom-147/,,,,,,
Oudenoord 256,3513 EV,1146,3000.0,54.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42804258-oudenoord-256/,,,,,,
Hickorylaan 180,3545 CT,1204,6500.0,83.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814466-hickorylaan-180/,,,,,,
Moreelsehoek 396,3511 EZ,1073,8000.0,50.0,1.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42985440-moreelsehoek-396/,,,,,,
Marshalllaan 352 A,3527 TW,1325,4500.0,78.0,4.0,3.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88291897-marshalllaan-352-a/,,,,,,
Wulpstraat 55 *,3582 AW,1225,,30.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-88351938-wulpstraat-55/,,,,,,
CAB-rondom 11,3534 BJ,934,,75.0,2.0,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991063-cab-rondom-11/,,,,,,
Monnetlaan 81,3527 GN,1450,4500.0,76.0,3.0,2.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88327842-monnetlaan-81/,,,,,,
Van Eysingalaan 187,3527 VE,1350,,70.0,3.0,2.0,2.0,True,False,E,https://www.funda.nl/huur/utrecht/appartement-42985046-van-eysingalaan-187/,,,,,,
Faustdreef 437,3561 LP,1450,6300.0,80.0,4.0,3.0,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88276665-faustdreef-437/,,,,,,
Marshalllaan 394,3527 TW,925,4500.0,41.0,2.0,1.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88262933-marshalllaan-394/,,,,,,
Hickorylaan 302,3545 CT,1169,6500.0,82.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814578-hickorylaan-302/,,,,,,
Hickorylaan 124,3545 CT,1050,6500.0,73.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814457-hickorylaan-124/,,,,,,
Auriollaan 32,3527 EV,1395,4500.0,76.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88169471-auriollaan-32/,,,,,,
Marshalllaan 387,3527 TK,1450,4500.0,78.0,3.0,2.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88289616-marshalllaan-387/,,,,,,
Oscar Hammersteinstraat 24,3543 CV,1245,,90.0,2.0,1.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42979851-oscar-hammersteinstraat-24/,,,,,,
Piet Heinstraat 9,3582 BX,1675,,70.0,2.0,1.0,,False,True,C,https://www.funda.nl/huur/utrecht/huis-88339734-piet-heinstraat-9/,50.0,,,,,
Twellosebeeklaan 117,3521 DR,965,,50.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989615-twellosebeeklaan-117/,,,,,,
Hickorylaan 148,3545 CT,1229,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813320-hickorylaan-148/,,,,,,
Eykmanlaan 415,3571 JR,1200,14000.0,94.0,4.0,3.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42737602-eykmanlaan-415/,,,,,,
Hickorylaan 140,3545 CT,1184,6500.0,83.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813351-hickorylaan-140/,,,,,,
Abstederdijk 133,3582 BE,1600,,87.0,4.0,2.0,,False,True,F,https://www.funda.nl/huur/utrecht/huis-42973121-abstederdijk-133/,45.0,,,,,
CAB-rondom 143,3534 BJ,927,,74.0,2.0,1.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42991033-cab-rondom-143/,,,,,,
Pal Maleterstraat 11,3573 PE,1645,,112.0,4.0,3.0,,False,False,B,https://www.funda.nl/huur/utrecht/appartement-88200970-pal-maleterstraat-11/,,,,,,
Faustdreef 105,3561 LC,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88251276-faustdreef-105/,,,,,,
Twellosebeeklaan 291,3521 DR,1070,,49.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989625-twellosebeeklaan-291/,,,,,,
Soestdijkstraat 8,3523 VM,1750,,118.0,5.0,4.0,2.0,False,True,F,https://www.funda.nl/huur/utrecht/huis-42971360-soestdijkstraat-8/,38.0,,,,,
Karel Doormanlaan 11,3572 NA,1750,,100.0,3.0,2.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88354070-karel-doormanlaan-11/,,,,,,
Hickorylaan 324,3545 CT,1254,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813356-hickorylaan-324/,,,,,,
Pieterskerkhof 23 B,3512 JS,1675,10000.0,66.0,2.0,1.0,2.0,False,False,A++,https://www.funda.nl/huur/utrecht/appartement-88357720-pieterskerkhof-23-b/,,,,,,
Nijenoord 219,3552 AS,1023,5500.0,52.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42638953-nijenoord-219/,,,,,,
Bollenhofsestraat 39 A,3572 VH,1500,,72.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/huis-42983493-bollenhofsestraat-39-a/,,,,,,
Oudenoord 172,3513 EV,1134,3000.0,54.0,1.0,1.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42953887-oudenoord-172/,,,,,,
Van Sijpesteijnkade 17 B,3521 AH,1450,,55.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42886785-van-sijpesteijnkade-17-b/,,,,,,
Gildstraat 86 B,3572 ER,1550,,65.0,2.0,1.0,2.0,True,False,G,https://www.funda.nl/huur/utrecht/appartement-42985072-gildstraat-86-b/,,,,,,
Amsterdamsestraatweg 233 E,3551 CC,1095,,55.0,2.0,1.0,2.0,False,False,C,https://www.funda.nl/huur/utrecht/appartement-42975720-amsterdamsestraatweg-233-e/,,,,,,
CAB-rondom 131,3534 BJ,1455,,96.0,4.0,3.0,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992029-cab-rondom-131/,,,,,,
